ID,CNumber,CAS,Aliases
1,177,66018-38-0,LL-Z-1640-2
2,177,66018-38-0,66018-38-0
3,177,66018-38-0,(5Z)-7-Oxozeaenol
4,177,66018-38-0,"(3S,5E,8S,9S,11E)-8,9,16-Trihydroxy-14-methoxy-3-methyl-3,4,9,10-tetrahydro-1H-2-benzoxacyclotetradecine-1,7(8H)-dione"
5,177,66018-38-0,[66018-38-0]
6,177,66018-38-0,"1H-2-Benzoxacyclotetradecin-1,7(8H)-dione"
7,177,66018-38-0,"3,4,9,10-tetrahydro-8,9,16-trihydroxy-14-methoxy-3-methyl-"
8,177,66018-38-0,"(3S,5E,8S,9S,11E)-"
9,177,66018-38-0,"(3S,5Z,8S,9S,11E)-3,4,9,10-tetrahydro-8,9,16-trihydroxy-14-methoxy-3-methyl-1H-2-benzoxacyclotetradecin-1,7(8H)-dione"
10,177,66018-38-0,"(2E,5S,6S,8E,11S)-5,6,15-trihydroxy-17-methoxy-11-methyl-12-oxabicyclo[12.4.0]octadeca-1(18),2,8,14,16-pentaene-7,13-dione"
11,177,66018-38-0,LL-Z1640-1
12,177,66018-38-0,5E-7-oxozeaenol
13,177,66018-38-0,253863-19-3
14,177,66018-38-0,[253863-19-3]
15,177,66018-38-0,ll z1640-2
16,2,221243-82-9,PP1-AG1872
17,2,221243-82-9,K00047
18,2,221243-82-9,"4-Amino-1-tert-butyl-3-(1'-naphthyl)pyrazolo[3,4-d]pyrimidine"
19,2,221243-82-9,"1H-Pyrazolo[3,4-d]pyrimidin-4-amine"
20,2,221243-82-9,"1-(1,1-dimethylethyl)-3-(1-naphthalenyl)-"
22,2,221243-82-9,"1-(1,1-dimethylethyl)-3-(1-naphthalenyl)- (9CI)"
23,2,221243-82-9,221243-82-9
24,2,221243-82-9,"9-naphthalen-1-yl-7-tert-butyl-3,5,7,8-tetrazabicyclo[4.3.0]nona-1,3,5,8-tetraen-2-amine"
25,2,221243-82-9,22662-31-3
26,2,221243-82-9,8275174
27,2,221243-82-9,1-NA-PP1
28,2,221243-82-9,"1-(1,1-Dimethylethyl)-3-(1-naphthalenyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine"
29,2,221243-82-9,"1-tert-butyl-3-naphthalen-1-yl-1H-pyrazolo[3,4-d]pyrimidin-4-amine"
30,2,221243-82-9,1-Naphthyl PP1
31,2,221243-82-9,"1-tert-butyl-3-(1-naphthyl)-1h-pyrazolo[3,4-d]pyrimidin-4-amine"
32,2,221243-82-9,[221243-82-9]
33,2,221243-82-9,"1-(2-Methyl-2-propanyl)-3-(1-naphthyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine"
34,2,221243-82-9,1-NA-PP 1 |
35,2,221243-82-9,"1-tert-butyl-3-(naphthalen-1-yl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine"
36,2,221243-82-9,1-NA-PP 1
37,2,221243-82-9,"1-(tert-Butyl)-3-(naphthalen-1-yl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine"
38,2,221243-82-9,MFCD03425471
39,2,221243-82-9,"1-tert-butyl-3-naphthalen-1-ylpyrazolo[3,4-d]pyrimidin-4-amine"
40,2,221243-82-9,956025-47-1
41,2,221243-82-9,CHEMBL264406
42,2,221243-82-9,"1-TERT-BUTYL-3-(NAPHTHALEN-1-YL)PYRAZOLO[3,4-D]PYRIMIDIN-4-AMINE"
43,2,221243-82-9,0J9
44,2,221243-82-9,(1-Naphthyl PP1)
45,3,221244-14-0,8278642
46,3,221244-14-0,1-NM-PP1
47,3,221244-14-0,221244-14-0
48,3,221244-14-0,"1-(1,1-dimethylethyl)-3-(1-naphthalenylmethyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine"
49,3,221244-14-0,"4-Amino-1-tert-butyl-3-(1'-naphthylmethyl)pyrazolo[3,4-d]pyrimidine"
50,3,221244-14-0,"1-tert-butyl-3-(naphthalen-1-ylmethyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine"
51,3,221244-14-0,"1H-Pyrazolo[3,4-d]pyrimidin-4-amine"
52,3,221244-14-0,"1-(1,1-dimethylethyl)-3-(1-naphthalenylmethyl)-"
53,3,221244-14-0,1-NMPP1
54,3,221244-14-0,PP1 Analog II
55,3,221244-14-0,1NM-PP1
56,3,221244-14-0,1-Naphthyl PP1
57,3,221244-14-0,"4-amino-1-tert-butyl-3-(1'-naphthylmethyl)pyrazolo(3,4-d)pyrimidine"
58,3,221244-14-0,Mutant Kinases Inhibitor II and PP1 Analog II
60,3,221244-14-0,"1-(2-Methyl-2-propanyl)-3-(1-naphthylmethyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine"
61,3,221244-14-0,MFCD17010191
62,3,221244-14-0,NM-PP1
63,3,221244-14-0,1-
64,3,221244-14-0,[221244-14-0]
65,3,221244-14-0,1 NM-PP1
66,3,221244-14-0,AC1NP9I6
67,3,221244-14-0,mutant kinases inhibitor II
