CNumber,Target,Screen Conc(0.1),% Activity Remaining,Standard Deviation
177,IRAK4,0.1,99,4
177,RIPK2,0.1,103,5
177,TTK,0.1,104,2
177,MPSK1,0.1,103,6
177,Src,0.1,106,4
177,Lck,0.1,78,1
177,CSK,0.1,118,16
177,YES1,0.1,105,40
177,ABL,0.1,108,5
177,BTK,0.1,90,5
177,JAK2,0.1,108,11
177,SYK,0.1,88,3
177,ZAP70,0.1,110,4
177,TIE2,0.1,103,16
177,BRK,0.1,65,13
177,EPH-A2,0.1,99,8
177,EPH-A4,0.1,91,4
177,EPH-B1,0.1,99,11
177,EPH-B2,0.1,96,21
177,EPH-B3,0.1,111,8
177,EPH-B4,0.1,87,6
177,FGF-R1,0.1,105,24
177,HER4,0.1,100,2
177,IGF-1R,0.1,100,16
177,IR,0.1,110,10
177,IRR,0.1,107,52
177,TrkA,0.1,46,0
177,VEGFR1,0.1,8,0
177,MKK1,0.1,13,2
177,MKK2,0.1,12,2
177,MKK6,0.1,12,4
177,ERK1,0.1,106,15
177,ERK2,0.1,103,2
177,JNK1,0.1,90,0
177,JNK2,0.1,109,12
177,JNK3,0.1,107,2
177,p38 alpha MAPK,0.1,103,3
177,p38 beta MAPK,0.1,90,9
177,p38 gamma MAPK,0.1,99,1
177,p38 delta MAPK,0.1,99,2
177,ERK8,0.1,40,2
177,RSK1,0.1,113,1
177,RSK2,0.1,106,6
177,PDK1,0.1,99,10
177,PKB alpha ,0.1,111,9
177,PKB beta ,0.1,86,9
177,SGK1,0.1,106,2
177,S6K1,0.1,112,8
177,PKA,0.1,99,7
177,ROCK 2,0.1,116,13
177,PRK2,0.1,102,2
177,PKC alpha ,0.1,107,3
177,PKC gamma ,0.1,87,4
177,PKC zeta ,0.1,105,1
177,PKD1,0.1,71,6
177,STK33,0.1,120,13
177,MSK1,0.1,107,25
177,MNK1,0.1,55,0
177,MNK2,0.1,41,3
177,MAPKAP-K2 ,0.1,124,4
177,MAPKAP-K3,0.1,113,18
177,PRAK,0.1,66,7
177,CAMKK beta ,0.1,87,4
177,CAMK1,0.1,88,2
177,SmMLCK,0.1,108,4
177,PHK,0.1,100,2
177,DAPK1,0.1,108,1
177,CHK1,0.1,114,13
177,CHK2,0.1,110,1
177,GSK3 beta ,0.1,102,13
177,CDK2-Cyclin A,0.1,119,7
177,PLK1,0.1,103,1
177,Aurora A,0.1,106,20
177,Aurora B,0.1,94,1
177,LKB1,0.1,138,6
177,AMPK,0.1,100,7
177,MARK1,0.1,112,16
177,MARK2,0.1,109,1
177,MARK3,0.1,116,11
177,MARK4,0.1,107,1
177,BRSK1,0.1,113,12
177,BRSK2,0.1,84,11
177,MELK,0.1,95,11
177,NUAK1,0.1,113,9
177,CK1 delta ,0.1,102,4
177,CK2,0.1,106,15
177,DYRK1A,0.1,117,0
177,DYRK2,0.1,114,5
177,DYRK3,0.1,94,7
177,NEK2a,0.1,108,0
177,NEK6,0.1,122,5
177,IKK beta ,0.1,102,17
177,IKK epsilon ,0.1,120,4
177,TBK1,0.1,105,1
177,PIM1,0.1,102,1
177,PIM2,0.1,91,7
177,PIM3,0.1,126,6
177,SRPK1,0.1,104,10
177,EF2K,0.1,48,57
177,HIPK1,0.1,102,11
177,HIPK2,0.1,98,9
177,HIPK3,0.1,90,2
177,CLK2,0.1,96,17
177,PAK2,0.1,104,5
177,PAK4,0.1,94,11
177,PAK5,0.1,96,9
177,PAK6,0.1,100,5
177,MST2,0.1,120,14
177,MST4,0.1,129,6
177,GCK,0.1,121,3
177,MINK1,0.1,101,9
