CNumber,Target,Screen Conc(10.0),% Activity Remaining,Standard Deviation
2,p38 beta MAPK,10.0,24,2
2,HIPK2,10.0,84,1
2,p38 gamma MAPK,10.0,81,2
2,HIPK3,10.0,105,0
2,p38 delta MAPK,10.0,80,2
2,PAK4,10.0,35,0
2,ERK8,10.0,58,4
2,PAK5,10.0,25,3
2,RSK1,10.0,53,4
2,PAK6,10.0,57,6
2,RSK2,10.0,71,1
2,Src,10.0,3,2
2,PDK1,10.0,97,3
2,Lck,10.0,6,1
2,PKB alpha ,10.0,50,0
2,CSK,10.0,5,1
2,PKB beta ,10.0,89,1
2,SGK1,10.0,91,2
2,S6K1,10.0,61,7
2,PKA,10.0,56,2
2,ROCK 2,10.0,30,0
2,PRK2,10.0,89,2
2,PKC alpha ,10.0,39,8
2,PKC zeta ,10.0,83,1
2,PKD1,10.0,8,3
2,MSK1,10.0,46,6
2,MNK1,10.0,95,1
2,MNK2,10.0,85,7
2,MAPKAP-K2 ,10.0,97,3
2,MAPKAP-K3,10.0,87,5
2,PRAK,10.0,76,0
2,CAMKK alpha ,10.0,76,8
2,MKK1,10.0,65,4
2,ERK1,10.0,69,1
2,ERK2,10.0,62,0
2,JNK1,10.0,93,1
2,JNK2,10.0,56,4
2,JNK3,10.0,87,3
2,p38 alpha MAPK,10.0,17,4
2,CAMKK beta ,10.0,72,6
2,CAMK1,10.0,63,2
2,SmMLCK,10.0,61,4
2,PHK,10.0,75,1
2,CHK1,10.0,95,2
2,CHK2,10.0,32,1
2,GSK3 beta ,10.0,77,0
2,CDK2-Cyclin A,10.0,55,1
2,PLK1,10.0,95,5
2,Aurora B,10.0,74,8
2,Aurora C,10.0,55,1
2,DYRK3,10.0,65,1
2,AMPK,10.0,73,2
2,NEK2a,10.0,95,4
2,MARK3,10.0,30,0
2,NEK6,10.0,91,7
2,NEK7,10.0,106,0
2,BRSK2,10.0,75,0
2,IKK beta ,10.0,95,3
2,PIM1,10.0,91,4
2,MELK,10.0,27,0
2,PIM2,10.0,104,0
2,PIM3,10.0,83,4
2,CK1 delta ,10.0,4,0
2,SRPK1,10.0,89,7
2,CK2,10.0,87,0
2,MST2,10.0,10,3
2,DYRK1A,10.0,77,8
2,EF2K,10.0,99,2
2,DYRK2,10.0,96,7
3,NEK6,10.0,110,1
3,NEK7,10.0,109,8
3,IKK beta ,10.0,95,0
3,PIM1,10.0,94,0
3,PIM2,10.0,103,2
3,PIM3,10.0,87,3
3,SRPK1,10.0,93,0
3,MST2,10.0,9,0
3,MKK1,10.0,76,6
3,EF2K,10.0,105,2
3,ERK1,10.0,45,1
