CNumber,Target,Screen Conc(5.0-10.0),% Activity Remaining,Standard Deviation
327,LKB1,5.0,94,6
327,AMPK (hum),5.0,74,6
327,MARK1,5.0,76,6
327,MARK2,5.0,88,8
327,MARK3,5.0,92,6
327,MARK4,5.0,57,2
327,BRSK1,5.0,81,0
327,BRSK2,5.0,23,1
327,MELK,5.0,93,7
327,NUAK1,5.0,84,3
327,SIK2,5.0,69,6
327,SIK3,5.0,64,2
327,TSSK1,5.0,42,1
327,CK1 gamma 2,5.0,96,3
327,CK1 delta ,5.0,130,43
327,CK2,5.0,103,4
327,TTBK1,5.0,110,2
327,TTBK2,5.0,91,13
327,DYRK1A,5.0,96,13
327,DYRK2,5.0,88,23
327,DYRK3,5.0,23,6
327,NEK2a,5.0,118,8
327,NEK6,5.0,78,1
327,IKK beta ,5.0,74,3
327,IKK epsilon ,5.0,67,4
327,TBK1,5.0,116,1
327,PIM1,5.0,99,1
327,PIM2,5.0,111,14
327,PIM3,5.0,98,6
327,SRPK1,5.0,96,5
327,EF2K,5.0,111,7
327,EIF2AK3,5.0,99,2
327,HIPK1,5.0,89,0
327,HIPK2,5.0,106,4
327,HIPK3,5.0,77,13
327,CLK2,5.0,91,1
327,PAK2,5.0,94,1
327,PAK4,5.0,86,7
327,PAK5,5.0,83,3
327,PAK6,5.0,113,6
327,MST2,5.0,95,1
327,MST3,5.0,122,2
327,MST4,5.0,82,6
327,GCK,5.0,89,6
327,MAP4K3,5.0,50,14
327,MAP4K5,5.0,108,1
327,MINK1,5.0,104,15
327,MEKK1,5.0,108,1
327,MLK1,5.0,89,8
327,MLK3,5.0,30,5
327,TESK1,5.0,91,24
327,TAO1,5.0,106,12
327,ASK1,5.0,133,8
327,TAK1,5.0,83,4
327,IRAK1,5.0,98,6
327,IRAK4,5.0,142,7
327,RIPK2,5.0,121,4
327,OSR1,5.0,138,4
327,TTK,5.0,71,4
327,MPSK1,5.0,120,8
327,WNK1,5.0,97,2
327,ULK1,5.0,103,1
327,ULK2,5.0,104,16
327,TGFBR1,5.0,97,9
327,Src,5.0,90,2
327,Lck,5.0,104,10
327,CSK,5.0,89,1
327,YES1,5.0,99,7
327,ABL,5.0,98,8
327,BTK,5.0,106,11
327,JAK2,5.0,103,1
327,SYK,5.0,131,6
327,ZAP70,5.0,114,4
327,TIE2,5.0,98,10
327,BRK,5.0,113,5
327,EPH-A2,5.0,88,17
327,EPH-A4,5.0,90,10
327,EPH-B1,5.0,133,33
327,EPH-B2,5.0,116,24
327,EPH-B3,5.0,112,28
327,EPH-B4,5.0,121,10
327,FGF-R1,5.0,63,8
327,HER4,5.0,140,5
327,IGF-1R,5.0,110,17
327,IR,5.0,91,4
327,IRR,5.0,83,6
327,TrkA,5.0,66,12
327,DDR2,5.0,110,6
327,VEGFR1,5.0,49,6
327,PDGFRA,5.0,103,3
327,PINK,5.0,81,8
327,MKK1,5.0,88,1
327,MKK2,5.0,71,4
327,MKK6,5.0,120,1
327,ERK1,5.0,107,3
327,ERK2,5.0,39,1
327,ERK5,5.0,96,11
327,JNK1,5.0,107,10
327,JNK2,5.0,101,23
327,JNK3,5.0,82,11
327,p38 alpha MAPK,5.0,105,6
327,p38 beta MAPK,5.0,95,0
327,p38 gamma MAPK,5.0,107,11
327,p38 delta MAPK,5.0,119,0
327,ERK8,5.0,58,1
327,RSK1,5.0,84,2
327,RSK2,5.0,60,7
327,PDK1,5.0,89,1
327,PKB alpha ,5.0,91,17
327,PKB beta ,5.0,82,3
327,SGK1,5.0,80,3
327,S6K1,5.0,70,5
327,PKA,5.0,115,9
327,ROCK 2,5.0,103,9
327,PRK2,5.0,85,4
327,PKC alpha ,5.0,102,0
327,PKC gamma ,5.0,52,6
327,PKC zeta ,5.0,174,7
327,PKD1,5.0,75,5
327,STK33,5.0,97,1
327,MSK1,5.0,95,3
327,MNK1,5.0,117,2
327,MNK2,5.0,107,10
327,MAPKAP-K2 ,5.0,113,2
327,MAPKAP-K3,5.0,64,1
327,PRAK,5.0,45,8
327,CAMKK beta ,5.0,108,1
327,CAMK1,5.0,103,2
327,SmMLCK,5.0,104,5
327,PHK,5.0,100,4
327,DAPK1,5.0,97,1
327,CHK1,5.0,129,8
327,CHK2,5.0,82,1
327,GSK3 beta ,5.0,115,1
327,CDK2-Cyclin A,5.0,83,5
327,CDK9-Cyclin T1,5.0,102,3
327,PLK1,5.0,68,18
327,Aurora A,5.0,93,3
327,Aurora B,5.0,11,2
327,TLK1,5.0,94,5
46,MLK3,5.0,None,None
46,TAO1,5.0,None,None
46,ASK1,5.0,None,None
46,TAK1,5.0,None,None
46,IRAK4,5.0,None,None
46,RIPK2,5.0,None,None
46,TTK,5.0,None,None
46,Src,5.0,94,2
46,Lck,5.0,73,2
46,MKK1,5.0,68,3
46,CSK,5.0,92,16
46,MKK2,5.0,None,None
46,YES1,5.0,None,None
46,MKK6,5.0,None,None
46,BTK,5.0,None,None
46,ERK1,5.0,None,None
46,JAK2,5.0,None,None
46,ERK2,5.0,103,3
46,SYK,5.0,None,None
46,JNK1,5.0,80,8
46,EPH-A2,5.0,None,None
46,JNK2,5.0,77,3
46,EPH-A4,5.0,None,None
46,JNK3,5.0,None,None
46,EPH-B1,5.0,None,None
46,p38 alpha MAPK,5.0,83,19
46,ERK8,5.0,53,5
46,EPH-B2,5.0,None,None
46,p38 beta MAPK,5.0,90,4
46,RSK1,5.0,105,15
46,EPH-B3,5.0,None,None
46,p38 gamma MAPK,5.0,104,13
46,RSK2,5.0,98,0
46,EPH-B4,5.0,None,None
46,p38 delta MAPK,5.0,81,20
46,PDK1,5.0,90,23
46,FGF-R1,5.0,None,None
46,HER4,5.0,None,None
46,IGF-1R,5.0,None,None
46,IR,5.0,None,None
46,IRR,5.0,None,None
46,PKB alpha ,5.0,105,3
46,TrkA,5.0,None,None
46,PKB beta ,5.0,96,0
46,VEGFR1,5.0,None,None
46,SGK1,5.0,65,7
46,S6K1,5.0,74,11
46,PKA,5.0,81,16
46,ROCK 2,5.0,77,1
46,PRK2,5.0,74,4
46,PKC alpha ,5.0,81,3
46,PKC zeta ,5.0,None,None
46,PKD1,5.0,91,9
46,MSK1,5.0,97,2
46,MNK1,5.0,57,2
46,MNK2,5.0,51,1
46,MAPKAP-K2 ,5.0,89,6
46,MAPKAP-K3,5.0,93,8
46,PRAK,5.0,76,0
46,CAMKK beta ,5.0,None,None
46,CAMK1,5.0,77,3
46,SmMLCK,5.0,75,12
46,PHK,5.0,106,10
46,DAPK1,5.0,None,None
46,CHK1,5.0,83,17
46,CHK2,5.0,67,2
46,GSK3 beta ,5.0,57,7
46,CDK2-Cyclin A,5.0,96,3
46,PLK1,5.0,99,14
46,Aurora A,5.0,None,None
46,Aurora B,5.0,48,5
46,LKB1,5.0,None,None
46,AMPK,5.0,84,11
46,MARK1,5.0,None,None
46,MARK2,5.0,None,None
46,MARK3,5.0,93,8
46,MARK4,5.0,None,None
46,BRSK1,5.0,None,None
46,BRSK2,5.0,None,None
46,MELK,5.0,None,None
46,NUAK1,5.0,None,None
46,CK1 delta ,5.0,51,0
46,CK2,5.0,91,0
46,DYRK1A,5.0,53,8
46,DYRK2,5.0,None,None
46,DYRK3,5.0,None,None
46,NEK2a,5.0,74,0
46,NEK6,5.0,98,1
46,IKK beta ,5.0,78,9
46,IKK epsilon ,5.0,None,None
46,TBK1,5.0,None,None
46,PIM1,5.0,None,None
46,PIM2,5.0,38,4
46,PIM3,5.0,None,None
46,SRPK1,5.0,92,10
46,EF2K,5.0,94,2
46,HIPK1,5.0,None,None
46,HIPK2,5.0,None,None
46,HIPK3,5.0,None,None
46,CLK2,5.0,None,None
46,PAK2,5.0,None,None
46,PAK4,5.0,None,None
46,PAK5,5.0,None,None
46,PAK6,5.0,None,None
46,MST2,5.0,80,0
46,MST4,5.0,None,None
46,GCK,5.0,None,None
46,MINK1,5.0,None,None
46,NEK7,5.0,85,7
46,MEKK1,5.0,None,None
46,MLK1,5.0,None,None
133,EPH-A2,5.0,75,7
133,CSK,5.0,109,2
133,MST4,5.0,8,8
133,YES1,5.0,34,2
133,SYK,5.0,12,1
133,BTK,5.0,19,2
133,JAK2,5.0,34,1
133,IGF-1R,5.0,94,10
133,VEGFR1,5.0,4,1
133,EPH-A4,5.0,89,5
133,IR,5.0,93,7
133,EPH-B1,5.0,102,10
133,EPH-B3,5.0,69,6
133,EPH-B2,5.0,169,8
133,TBK1,5.0,22,5
133,IKK epsilon ,5.0,4,1
133,EPH-B4,5.0,119,8
133,FGF-R1,5.0,4,1
133,HER4,5.0,49,6
133,IRR,5.0,47,1
133,TrkA,5.0,19,2
133,ERK8,5.0,1,0
133,RSK1,5.0,62,6
133,RSK2,5.0,6,1
133,PDK1,5.0,75,13
133,PKB alpha ,5.0,62,7
133,PKB beta ,5.0,0,0
133,SGK1,5.0,48,0
133,S6K1,5.0,14,3
133,PKA,5.0,92,2
133,ROCK 2,5.0,87,3
133,PRK2,5.0,30,2
133,PKC alpha ,5.0,48,12
133,PKC zeta ,5.0,11,6
133,PKD1,5.0,10,1
133,MSK1,5.0,65,0
133,MNK1,5.0,76,12
133,MNK2,5.0,78,10
133,MAPKAP-K2 ,5.0,69,1
133,MAPKAP-K3,5.0,10,1
133,PRAK,5.0,46,12
133,CAMKK beta ,5.0,49,7
133,CAMK1,5.0,3,0
133,SmMLCK,5.0,51,5
133,PHK,5.0,103,6
133,DAPK1,5.0,83,8
133,CHK1,5.0,88,8
133,CHK2,5.0,34,6
133,GSK3 beta ,5.0,30,3
133,CDK2-Cyclin A,5.0,106,1
133,PLK1,5.0,12,2
133,Aurora A,5.0,2,0
133,Aurora B,5.0,2,1
133,LKB1,5.0,17,1
133,AMPK,5.0,27,4
133,MARK1,5.0,38,5
133,MARK2,5.0,66,10
133,MARK3,5.0,63,1
133,MARK4,5.0,41,3
133,BRSK1,5.0,24,5
133,BRSK2,5.0,14,6
133,MELK,5.0,14,5
133,NUAK1,5.0,6,2
133,CK1 delta ,5.0,94,5
133,CK2,5.0,97,4
133,DYRK1A,5.0,19,4
133,DYRK2,5.0,45,1
133,DYRK3,5.0,33,4
133,NEK2a,5.0,8,1
133,NEK6,5.0,11,0
133,IKK beta ,5.0,6,2
133,PIM1,5.0,15,3
133,PIM2,5.0,21,5
133,PIM3,5.0,17,1
133,SRPK1,5.0,47,4
133,EF2K,5.0,60,8
