ID,CNumber,Target,Screen Conc(0.001),% Activity Remaining,Standard Deviation,Screen Conc(0.01),% Activity Remaining.1,Standard Deviation.1,Screen Conc(0.1),% Activity Remaining.2,Standard Deviation.2,Screen Conc(0.1-1.0),% Activity Remaining.3,Standard Deviation.3,Screen Conc(1.0),% Activity Remaining.4,Standard Deviation.4,Screen Conc(1.0-5.0),% Activity Remaining.5,Standard Deviation.5,Screen Conc(5.0-10.0),% Activity Remaining.6,Standard Deviation.6,Screen Conc(10.0),% Activity Remaining.7,Standard Deviation.7,Screen Conc(10.0-25.0),% Activity Remaining.8,Standard Deviation.8,Screen Conc(25.0),% Activity Remaining.9,Standard Deviation.9,Screen Conc(25.0-50.0),% Activity Remaining.10,Standard Deviation.10,Screen Conc(50.0),% Activity Remaining.11,Standard Deviation.11,Screen Conc(100.0),% Activity Remaining.12,Standard Deviation.12,Screen Conc(>100.0),% Activity Remaining.13,Standard Deviation.13
1,177.0,Q9NWZ3,,,,,,,0.1,99,4,,,,1.0,28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,177.0,O43353,,,,,,,0.1,103,5,,,,1.0,39,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,177.0,P33981,,,,,,,0.1,104,2,,,,1.0,91,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,177.0,O75716,,,,,,,0.1,103,6,,,,1.0,101,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,177.0,Q14247,,,,,,,0.1,106,4,,,,1.0,43,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,177.0,Q13501,,,,,,,0.1,78,1,,,,1.0,30,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,177.0,P67870,,,,,,,0.1,118,16,,,,1.0,56,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,177.0,P07947,,,,,,,0.1,105,40,,,,1.0,60,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,177.0,P53004,,,,,,,0.1,108,5,,,,1.0,71,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,177.0,Q06187,,,,,,,0.1,90,5,,,,1.0,93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
