Kinase,Subcellular Location
AKT1_HUMAN,Cytoplasm
AKT1_HUMAN,Nucleus
AKT1_HUMAN,Cell membrane
AKT1_HUMAN,Nucleus
AKT2_HUMAN,Cytoplasm
AKT2_HUMAN,Nucleus
AKT2_HUMAN,Cell membrane
AKT2_HUMAN,Peripheral membrane protein
AKT2_HUMAN,Early endosome
AKT3_HUMAN,Nucleus
AKT3_HUMAN,Cytoplasm
AKT3_HUMAN,Membrane
AKT3_HUMAN,Peripheral membrane protein
AKT3_HUMAN,Membrane
MRCKA_HUMAN,Cytoplasm
MRCKA_HUMAN,Cell projection
MRCKA_HUMAN,lamellipodium
MRCKA_HUMAN,lamellipodium
MRCKB_HUMAN,Cytoplasm
MRCKB_HUMAN,Cell membrane
MRCKB_HUMAN,Cytoplasm
MRCKB_HUMAN,Cytoplasmic side
MRCKB_HUMAN,Peripheral membrane protein
MRCKB_HUMAN,Cell junction
MRCKB_HUMAN,Cell projection
MRCKB_HUMAN,lamellipodium
MRCKB_HUMAN,lamellipodium
MRCKG_HUMAN,Cytoplasm
CTRO_HUMAN,Cytoplasm
DMPK_HUMAN,Cytoplasm
DMPK_HUMAN,Cytoplasmic side
DMPK_HUMAN,Endoplasmic reticulum
DMPK_HUMAN,Endoplasmic reticulum membrane
DMPK_HUMAN,Single-pass type IV membrane protein
DMPK_HUMAN,Cytoplasm
DMPK_HUMAN,Cytoplasmic side
DMPK_HUMAN,Nucleus
DMPK_HUMAN,Nucleus outer membrane
DMPK_HUMAN,Single-pass type IV membrane protein
DMPK_HUMAN,Mitochondrion
DMPK_HUMAN,Mitochondrion outer membrane
DMPK_HUMAN,Single-pass type IV membrane protein
DMPK_HUMAN,Sarcoplasmic reticulum
DMPK_HUMAN,Sarcoplasmic reticulum membrane
DMPK_HUMAN,Cell membrane
DMPK_HUMAN,Cytoplasm
DMPK_HUMAN,cytosol
DMPK_HUMAN,sarcoplasm
DMPK_HUMAN,Mitochondrion
DMPK_HUMAN,Mitochondrion membrane
DMPK_HUMAN,Mitochondrion
DMPK_HUMAN,Mitochondrion membrane
GRK1_HUMAN,Lipid-anchor
GRK1_HUMAN,Membrane
GRK1_HUMAN,Cell projection
GRK1_HUMAN,cilium
GRK1_HUMAN,photoreceptor outer segment
