Accession code,Uniprot URL
P31749,https://www.uniprot.org/uniprot/P31749
P31751,https://www.uniprot.org/uniprot/P31751
Q9Y243,https://www.uniprot.org/uniprot/Q9Y243
Q5VT25,https://www.uniprot.org/uniprot/Q5VT25
Q9Y5S2,https://www.uniprot.org/uniprot/Q9Y5S2
Q6DT37,https://www.uniprot.org/uniprot/Q6DT37
O14578,https://www.uniprot.org/uniprot/O14578
Q09013,https://www.uniprot.org/uniprot/Q09013
Q15835,https://www.uniprot.org/uniprot/Q15835
P25098,https://www.uniprot.org/uniprot/P25098
P35626,https://www.uniprot.org/uniprot/P35626
P32298,https://www.uniprot.org/uniprot/P32298
P34947,https://www.uniprot.org/uniprot/P34947
P43250,https://www.uniprot.org/uniprot/P43250
Q8WTQ7,https://www.uniprot.org/uniprot/Q8WTQ7
O95835,https://www.uniprot.org/uniprot/O95835
Q9NRM7,https://www.uniprot.org/uniprot/Q9NRM7
Q9Y2H9,https://www.uniprot.org/uniprot/Q9Y2H9
Q6P0Q8,https://www.uniprot.org/uniprot/Q6P0Q8
O60307,https://www.uniprot.org/uniprot/O60307
O15021,https://www.uniprot.org/uniprot/O15021
Q96GX5,https://www.uniprot.org/uniprot/Q96GX5
O15530,https://www.uniprot.org/uniprot/O15530
Q6A1A2,https://www.uniprot.org/uniprot/Q6A1A2
Q16512,https://www.uniprot.org/uniprot/Q16512
Q16513,https://www.uniprot.org/uniprot/Q16513
Q6P5Z2,https://www.uniprot.org/uniprot/Q6P5Z2
P17612,https://www.uniprot.org/uniprot/P17612
P22694,https://www.uniprot.org/uniprot/P22694
P22612,https://www.uniprot.org/uniprot/P22612
P17252,https://www.uniprot.org/uniprot/P17252
P05771,https://www.uniprot.org/uniprot/P05771
Q05655,https://www.uniprot.org/uniprot/Q05655
Q02156,https://www.uniprot.org/uniprot/Q02156
P05129,https://www.uniprot.org/uniprot/P05129
P24723,https://www.uniprot.org/uniprot/P24723
P41743,https://www.uniprot.org/uniprot/P41743
Q04759,https://www.uniprot.org/uniprot/Q04759
Q05513,https://www.uniprot.org/uniprot/Q05513
Q13976,https://www.uniprot.org/uniprot/Q13976
Q13237,https://www.uniprot.org/uniprot/Q13237
P51817,https://www.uniprot.org/uniprot/P51817
O43930,https://www.uniprot.org/uniprot/O43930
Q13464,https://www.uniprot.org/uniprot/Q13464
O75116,https://www.uniprot.org/uniprot/O75116
Q15418,https://www.uniprot.org/uniprot/Q15418
Q15349,https://www.uniprot.org/uniprot/Q15349
P51812,https://www.uniprot.org/uniprot/P51812
O75676,https://www.uniprot.org/uniprot/O75676
O75582,https://www.uniprot.org/uniprot/O75582
Q9UK32,https://www.uniprot.org/uniprot/Q9UK32
P23443,https://www.uniprot.org/uniprot/P23443
Q9UBS0,https://www.uniprot.org/uniprot/Q9UBS0
O00141,https://www.uniprot.org/uniprot/O00141
Q9HBY8,https://www.uniprot.org/uniprot/Q9HBY8
Q96BR1,https://www.uniprot.org/uniprot/Q96BR1
Q15208,https://www.uniprot.org/uniprot/Q15208
Q9Y2H1,https://www.uniprot.org/uniprot/Q9Y2H1
Q8TDC3,https://www.uniprot.org/uniprot/Q8TDC3
Q8IWQ3,https://www.uniprot.org/uniprot/Q8IWQ3
Q14012,https://www.uniprot.org/uniprot/Q14012
Q8IU85,https://www.uniprot.org/uniprot/Q8IU85
Q96NX5,https://www.uniprot.org/uniprot/Q96NX5
Q9UQM7,https://www.uniprot.org/uniprot/Q9UQM7
Q13554,https://www.uniprot.org/uniprot/Q13554
Q13557,https://www.uniprot.org/uniprot/Q13557
Q13555,https://www.uniprot.org/uniprot/Q13555
Q16566,https://www.uniprot.org/uniprot/Q16566
Q8NCB2,https://www.uniprot.org/uniprot/Q8NCB2
O14936,https://www.uniprot.org/uniprot/O14936
O14757,https://www.uniprot.org/uniprot/O14757
O96017,https://www.uniprot.org/uniprot/O96017
P53355,https://www.uniprot.org/uniprot/P53355
Q9UIK4,https://www.uniprot.org/uniprot/Q9UIK4
O43293,https://www.uniprot.org/uniprot/O43293
O15075,https://www.uniprot.org/uniprot/O15075
Q8N568,https://www.uniprot.org/uniprot/Q8N568
Q9C098,https://www.uniprot.org/uniprot/Q9C098
P57058,https://www.uniprot.org/uniprot/P57058
O60229,https://www.uniprot.org/uniprot/O60229
P49137,https://www.uniprot.org/uniprot/P49137
Q16644,https://www.uniprot.org/uniprot/Q16644
Q8IW41,https://www.uniprot.org/uniprot/Q8IW41
Q9P0L2,https://www.uniprot.org/uniprot/Q9P0L2
Q7KZI7,https://www.uniprot.org/uniprot/Q7KZI7
P27448,https://www.uniprot.org/uniprot/P27448
Q96L34,https://www.uniprot.org/uniprot/Q96L34
Q14680,https://www.uniprot.org/uniprot/Q14680
Q9BUB5,https://www.uniprot.org/uniprot/Q9BUB5
Q9HBH9,https://www.uniprot.org/uniprot/Q9HBH9
Q15746,https://www.uniprot.org/uniprot/Q15746
Q9H1R3,https://www.uniprot.org/uniprot/Q9H1R3
Q32MK0,https://www.uniprot.org/uniprot/Q32MK0
Q86YV6,https://www.uniprot.org/uniprot/Q86YV6
Q8IY84,https://www.uniprot.org/uniprot/Q8IY84
O60285,https://www.uniprot.org/uniprot/O60285
Q9H093,https://www.uniprot.org/uniprot/Q9H093
Q5VST9,https://www.uniprot.org/uniprot/Q5VST9
Q96RG2,https://www.uniprot.org/uniprot/Q96RG2
Q16816,https://www.uniprot.org/uniprot/Q16816
P15735,https://www.uniprot.org/uniprot/P15735
P11309,https://www.uniprot.org/uniprot/P11309
Q9P1W9,https://www.uniprot.org/uniprot/Q9P1W9
Q86V86,https://www.uniprot.org/uniprot/Q86V86
Q6P2M8,https://www.uniprot.org/uniprot/Q6P2M8
Q13131,https://www.uniprot.org/uniprot/Q13131
P54646,https://www.uniprot.org/uniprot/P54646
Q15139,https://www.uniprot.org/uniprot/Q15139
Q9BZL6,https://www.uniprot.org/uniprot/Q9BZL6
O94806,https://www.uniprot.org/uniprot/O94806
P11801,https://www.uniprot.org/uniprot/P11801
Q96QS6,https://www.uniprot.org/uniprot/Q96QS6
P57059,https://www.uniprot.org/uniprot/P57059
Q9H0K1,https://www.uniprot.org/uniprot/Q9H0K1
Q9Y2K2,https://www.uniprot.org/uniprot/Q9Y2K2
Q9NRH2,https://www.uniprot.org/uniprot/Q9NRH2
Q15772,https://www.uniprot.org/uniprot/Q15772
Q15831,https://www.uniprot.org/uniprot/Q15831
Q9UEE5,https://www.uniprot.org/uniprot/Q9UEE5
O94768,https://www.uniprot.org/uniprot/O94768
Q9BYT3,https://www.uniprot.org/uniprot/Q9BYT3
Q8N2I9,https://www.uniprot.org/uniprot/Q8N2I9
