ID,CNumber,Aliases
1,177.0,"LL-Z-1640-2 ; 66018-38-0 ; (5Z)-7-Oxozeaenol ; (3S,5E,8S,9S,11E)-8,9,16-Trihydroxy-14-methoxy-3-methyl-3,4,9,10-tetrahydro-1H-2-benzoxacyclotetradecine-1,7(8H)-dione ; [66018-38-0] ; 1H-2-Benzoxacyclotetradecin-1,7(8H)-dione ; 3,4,9,10-tetrahydro-8,9,16-trihydroxy-14-methoxy-3-methyl- ; (3S,5E,8S,9S,11E)- ; (3S,5Z,8S,9S,11E)-3,4,9,10-tetrahydro-8,9,16-trihydroxy-14-methoxy-3-methyl-1H-2-benzoxacyclotetradecin-1,7(8H)-dione ; (2E,5S,6S,8E,11S)-5,6,15-trihydroxy-17-methoxy-11-methyl-12-oxabicyclo[12.4.0]octadeca-1(18),2,8,14,16-pentaene-7,13-dione ; LL-Z1640-1 ; 5E-7-oxozeaenol ; 253863-19-3 ; [253863-19-3] ; ll z1640-2 ; "
2,2.0,"PP1-AG1872 ; K00047 ; 4-Amino-1-tert-butyl-3-(1'-naphthyl)pyrazolo[3,4-d]pyrimidine ; 1H-Pyrazolo[3,4-d]pyrimidin-4-amine ; 1-(1,1-dimethylethyl)-3-(1-naphthalenyl)- ; 1H-Pyrazolo[3,4-d]pyrimidin-4-amine ; 1-(1,1-dimethylethyl)-3-(1-naphthalenyl)- (9CI) ; 221243-82-9 ; 9-naphthalen-1-yl-7-tert-butyl-3,5,7,8-tetrazabicyclo[4.3.0]nona-1,3,5,8-tetraen-2-amine ; 22662-31-3 ; 8275174 ; 1-NA-PP1 ; 1-(1,1-Dimethylethyl)-3-(1-naphthalenyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine ; 1-tert-butyl-3-naphthalen-1-yl-1H-pyrazolo[3,4-d]pyrimidin-4-amine ; 1-Naphthyl PP1 ; 1-tert-butyl-3-(1-naphthyl)-1h-pyrazolo[3,4-d]pyrimidin-4-amine ; [221243-82-9] ; 1-(2-Methyl-2-propanyl)-3-(1-naphthyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine ; 1-NA-PP 1 | ; 1-tert-butyl-3-(naphthalen-1-yl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine ; 1-NA-PP 1 ; 1-(tert-Butyl)-3-(naphthalen-1-yl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine ; MFCD03425471 ; 1-tert-butyl-3-naphthalen-1-ylpyrazolo[3,4-d]pyrimidin-4-amine ; 956025-47-1 ; CHEMBL264406 ; 1-TERT-BUTYL-3-(NAPHTHALEN-1-YL)PYRAZOLO[3,4-D]PYRIMIDIN-4-AMINE ; 0J9 ; (1-Naphthyl PP1) ; "
3,3.0,"8278642 ; 1-NM-PP1 ; 221244-14-0 ; 1-(1,1-dimethylethyl)-3-(1-naphthalenylmethyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine ; 4-Amino-1-tert-butyl-3-(1'-naphthylmethyl)pyrazolo[3,4-d]pyrimidine ; 1-tert-butyl-3-(naphthalen-1-ylmethyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine ; 1H-Pyrazolo[3,4-d]pyrimidin-4-amine ; 1-(1,1-dimethylethyl)-3-(1-naphthalenylmethyl)- ; 1-NMPP1 ; PP1 Analog II ; 1NM-PP1 ; 1-Naphthyl PP1 ; 4-amino-1-tert-butyl-3-(1'-naphthylmethyl)pyrazolo(3,4-d)pyrimidine ; Mutant Kinases Inhibitor II and PP1 Analog II ; 1NM-PP1 ; 1-(2-Methyl-2-propanyl)-3-(1-naphthylmethyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine ; MFCD17010191 ; NM-PP1 ; 1- ; [221244-14-0] ; 1 NM-PP1 ; AC1NP9I6 ; mutant kinases inhibitor II ; NM-PP1 ; PP1 analog II ; AC1NP9I6|mutant kinases inhibitor II|NM-PP1 ; 1-(tert-butyl)-3-(naphthalen-1-ylmethyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine ; 956025-48-2 ; 1-NM-PP 1 ; 1NM-PP1 ; 1-tert-butyl-3-(naphthalen-1-ylmethyl)pyrazolo[3,4-d]pyrimidin-4-amine ; PP1 Analog II;1-NM-PP 1 ; 4-AMINO-1-TERT-BUTYL-3-(1'-NAPHTHYLMETHYL)PYRAZOLO-[3,4-D]PYRIMIDINE ; 1NM-PP1(PP1 Analog II) ; 1-NM-PP1 ; 1-tert-butyl-3-(1-naphthylmethyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine ; 0JN ; 4-amino-1-t-butyl-3-(1'-naphthylmethyl)pyrazolo[3,4-d]pyrimidine ; 4-amino-1-tert-butyl-3-(1’-naphthylmethyl)pyrazolo[3,4-d]pyrimidine ; MMV676599 ; "
4,293.0,"2-Aminopurine ; Purine ; 2-amino- ; 1H-Purin-2-amine ; 207-197-4 ; 452-06-2 ; Benzoic acid ; 4-(aminomethyl)- (9CI) ; 2-AP ; SQ 22,451 ; EINECS 207-197-4 ; 3H-Purin-2-amine ; 9H-Purin-2-amine ; 9H-Purin-2-ylamine ; purine-2-ylamine ; 2-amino purine ; 7H-Purin-2-amine ; 191236-69-8 ; 41731-39-9 ; 61655-24-1 ; 2H-Purin-2-imine ; 1,9-dihydro- ; 2'-amino-purine ; MFCD00005566 ; 1,3-Dihydro-2H-purin-2-imine ; 2H-Purin-2-imine ; 1,3-dihydro- ; aminopurine ; purin-2-amine ; 2-(dihydroxymethyl)-2,5-dihydrofuran-2,5-diol ; 7H-Purin-2-amine (9CI) ; 2H-Purin-2-imine ; 1,9-dihydro- (9CI) ; 1H-Purin-2-amine (9CI) ; 849611-62-7 ; [452-06-2] ; UO7475000 ; OR-1074 ; 7H-Purin-2-ylamine ; CHEMBL388594 ; BiomolKI_000044 ; BiomolKI2_000050 ; NCGC00163382-01 ; ST5298872 ; UNII-O14B3U97FW ; UNII:O14B3U97FW ; 1H-PURIN-2-AMINE,RADICAL ION(1-) ; 2-Aminopurine (en) ; '452-06-2 ; 2BP ; 7h-purin-2-amine(wxc05878) ; 9h-purin-2-amine(wxc06803) ; O14B3U97FW ; 1H-PURIN-2-AMINE|1H-PURIN-2-AMINE ; 2-AMINO PURINE|9H-PURIN-2-AMINE ; 2-AMINOPURINE|7H-PURIN-2-AMINE ; Famciclovir Related Compound E ; MFCD03853695 ; 2-AP207-197-4MFCD00005566 ; "
5,5.0,(S)-1-(5-(3-Methyl-1H-indazol-5-yl)pyridin-3-yloxy)-3-(1H-indol-3-yl)propan-2-amine ; A-443654 ; A-4436554 ; 1H-Indole-3-ethanamine ; .alpha.-[[[5-(3-methyl-1H-indazol-5-yl)-3-pyridinyl]oxy]methyl]- ; (.alpha.S)- ; 552325-16-3 ; (S)-1-(1H-indol-3-yl)-3-((5-(3-methyl-1H-indazol-5-yl)pyridin-3-yl)oxy)propan-2-amine ; (2S)-1-(1H-indol-3-yl)-3-(5-(3-methyl-1H-indazol-5-yl)pyridin-3-yloxy)propan-2-Amine ; (2S)-1-(1H-Indol-3-yl)-3-{[5-(3-methyl-1H-indazol-5-yl)-3-pyridinyl]oxy}-2-propanamine ; 1H-Indole-3-ethanamine ; alpha-[[[5-(3-methyl-1H-indazol-5-yl)-3-pyridinyl]oxy]methyl]- ; (alphaS)- ; A 443654 ; a-443654 dihydrochloride ; 911305-87-8 ; A 443654 ; A443654 ; (2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE ; 5-{5-[(2S)-2-amino-3-(1H-indol-3-yl)propoxy]pyridin-3-yl}-3-methyl-1H-indazole ; 2-(1H-Indol-3-yl)-1-[5-(3-methyl-1H-indazol-5-yl)pyridin-3-yloxymethyl]ethylamine ; (2S)-1-(1H-indol-3-yl)-3-[5-(3-methyl-2H-indazol-5-yl)pyridin-3-yl]oxypropan-2-amine ; A 443654|A443654 ; [552325-16-3] ; MFCD11840663 ; A443654 ; (2S)-1-(1H-indol-3-yl)-3-[[5-(3-methyl-2H-indazol-5-yl)-3-pyridinyl]oxy]-2-propanamine ; Î±S-[[[5-(3-methyl-1H-indazol-5-yl)-3-pyridinyl]oxy]methyl]-1H-indole-3-ethanamine ; 
6,6.0,"4-hydroxy-3-(2'-hydroxybiphenyl-4-yl)-6-oxo-6,7-dihydrothieno[2,3-b]pyridine-5-carbonitrile ; Thieno[2,3-b]pyridine-5-carbonitrile ; 6,7-dihydro-4-hydroxy-3-(2'-hydroxy[1,1'-biphenyl]-4-yl)-6-oxo- ; A 769662 ; [844499-71-4] ; 4-hydroxy-3-[4-(2-hydroxyphenyl)phenyl]-6-oxo-7-hydrothiopheno[2,3-b]pyridine-5-carbonitrile ; 4-Hydroxy-3-(2'-hydroxy-1,1'-biphenyl-4-yl)-6-oxo-6,7-dihydrothieno[2,3-b]pyridine-5-carbonitrile ; 844499-71-4 ; 6,7-Dihydro-4-hydroxy-3-(2'-hydroxy[1,1'-biphenyl]-4-yl )-6-oxo-thieno[2,3-b]pyridine-5-carbonitrile ; 6,7-Dihydro-4-hydroxy-3-(2'-hydroxy[1,1'-biphenyl]-4-yl)-6-oxo-thieno[2,3-b]pyridine-5-carbonitrile ; A-769662 ; 4-hydroxy-3-[4-(2-hydroxyphenyl)phenyl]-6-oxo-7H-thieno[2,3-b]pyridine-5-carbonitrile ; 4-hydroxy-3-(2'-hydroxy-[1,1'-biphenyl]-4-yl)-6-oxo-6,7-dihydrothieno[2,3-b]pyridine-5-carbonitrile ; Hismanal | ; MFCD11977269 ; 4-Hydroxy-3-(2'-hydroxy-4-biphenylyl)-6-oxo-6,7-dihydrothieno[2,3-b]pyridine-5-carbonitrile ; A769662 ; CHEMBL512504 ; 6-hydroxy-3-[4-(2-hydroxyphenyl)phenyl]-4-oxo-7H-thieno[2,3-b]pyridine-5-carbonitrile ; UNII-P68477CD2C ; UNII:P68477CD2C ; A-769662;A769662 ; Not available ; 3-[4-(2-Hydroxyphenyl)phenyl]-4-Oxidanyl-6-Oxidanylidene-7h-Thieno[2,3-B]pyridine-5-Carbonitrile ; C1V ; P68477CD2C ; 6,7-Dihydro-4-hydroxy-3-(2'-hydroxy[1,1'-biphenyl]-4-yl)-6-oxothieno[2,3-b]pyridine-5-carbonitrile ; A 769662|A-769662 ; "
7,162.0,"A-83-01 ; A 83-01 ; 909910-43-6 ; 3-(6-methylpyridin-2-yl)-N-phenyl-4-(quinolin-4-yl)-1H-pyrazole-1-carbothioamide ; [909910-43-6] ; 1H-Pyrazole-1-carbothioamide ; 3-(6-methyl-2-pyridinyl)-N-phenyl-4-(4-quinolinyl)- ; 3-(6-methylpyridin-2-yl)-N-phenyl-4-quinolin-4-yl-1H-pyrazole-1-carbothioamide ; 3-(6-Methyl-2-pyridinyl)-N-phenyl-4-(4-quinolinyl)-1H-pyrazole-1-carbothioamide ; A83-01 ; R-L3 | ; 3-(6-methylpyridin-2-yl)-N-phenyl-4-(quinolin-4-yl)-1H-pyrazole-1-carbothio amide ; A83-01;A-83-01 ; MFCD08705403 ; 3-(6-methylpyridin-2-yl)-N-phenyl-4-quinolin-4-ylpyrazole-1-carbothioamide ; TGF-beta inhibitor A-83-01 ; A 8301 ; TGFá inhibitor A-83-01 ; 1H-Pyrazole-1-carbothioamide,3-(6-methyl-2-pyridinyl)-N-phenyl-4-(4-quinolinyl)- ; 3-(6-Methyl-2-pyridinyl)-N-phenyl-4-(4-quinolinyl) -1H-pyrazole-1-carbothioamide ; A-83-01 ; 3-(6-METHYL-PYRIDIN-2-YL)-N-PHENYL-4-(4-QUINOLINYL)-1H-PYRAZOLE-1-CARBOTHIOAMIDE ; 3-(6-METHYLPYRIDIN-2-YL)-N-PHENYL-4-(QUINOLIN-4-YL)PYRAZOLE-1-CARBOTHIOAMIDE ; A-83-01 ; 3-(6-Methylpyridin-2-yl)-N-phenyl-4-(quinolin-4-yl)-1H-pyrazol-1-carbothioamide ; Not available ; a8301 ; culturesure a-83-01 ; "
8,144.0,"6,7-dimethoxy-3-phenylquinoxaline ; Quinozaline ; 6,7-dimethoxy-2-phenyl- ; 146535-11-7 ; 1489-12-9 ; 6,7-Dimethoxy-2-phenylquinoxaline ; AG1296 ; C106250 ; 6,7-Dimethoxy-2-phenyl-quinoxaline ; Quinoxaline ; 6,7-dimethoxy-2-phenyl- ; Tyrphostin AG 1296 (AG 1296) ; [146535-11-7] ; MFCD00270913 ; 2-phenyl-6,7-dimethoxyquinoxaline ; COc1cc2nc(cnc2cc1OC)c1ccccc1 ; "
9,154.0,"N-(3-Chlorophenyl)-6,7-dimethoxy-4-quinazolinamine ; 153436-53-4 ; PD153035 ; 4-(3-Chloroanilino)-6,7-dimethoxyquinazoline ; 170449-18-0 ; N-(3-Chlorophenyl)-6,7-dimethoxyquinazolin-4-amine ; RTKI cpd ; N-(3-chlorophenyl)-N-(6,7-dimethoxy-4-quinazolinyl)amine ; AG1478 ; C101044 ; 4-Quinazolinamine ; N-(3-chlorophenyl)-6,7-dimethoxy- ; n-(3-chlorphenyl)-6,7-dimethoxy-4-chinazolinamin ; (3-Chloro-phenyl)-(6,7-dimethoxy-quinazolin-4-yl)-amine ; 4-(3'-chloroanilino)-6,7-dimethoxyquinazoline hydrochloride ; 175178-82-2 ; PD-153,035 ; 6,7-Dimethoxy-4-[N-(3-chlorophenyl)amino]quinazoline hydrochloride ; 4-(3-Chloro-benzyl)-6,7-dimethoxy-quinazoline ; AG-1478 (Tyrphostin AG-1478) ; 153436-53-4 ; 170449-18-0 (HCl) ; N-(3-chlorophenyl)-6,7-dimethoxy-quinazolin-4-amine ; MFCD00270914 ; Tyrphostin ; [175178-82-2] ; 4-Quinazolinamine,N-(3-chlorophenyl)-6,7-dimethoxy- ; '175178-82-2 ; 0TO ; ag-1478 (tyrphostin ag1478) ; atoms 22 bonds 24 ; "
10,7.0,"2-Propenamide ; Tyrphostin deriv. 42 ; Tyrphostin  AG  490 ; N-Benzyl-2-cyano-3-(3,4-dihydroxyphenyl)acrylamide ; Tyrphostin- AG- 490 ; tyrphostin AG-490 ; 133550-30-8 ; (E)-N-benzyl-2-cyano-3-(3,4-dihydroxyphenyl)acrylamide ; AG 490 ; AG-490 ; AG490 ; C095512 ; alpha-cyano-(3,4-dihydroxy)-N-benzylcinnamide ; n-benzyl-3,4-dihydroxy-benzylidenecyanoacetamide ; Tyrphostin B42 ; 134036-52-5 ; (E)-2-Cyano-3-(3,4-dihydrophenyl)-N-(phenylmethyl)-2-propenamide ; (2E)-N-Benzyl-2-cyano-3-(3,4-dihydroxyphenyl)acrylamide ; (E)-N-Benzyl-2-cyano-3-(3,4-dihydroxy-phenyl)-acrylamide ; N-Benzyl-2-cyano-3-(3,4-dihydroxy-phenyl)-acrylamide ; Tyrphostin AG 490 ; 2-Propenamide ; 2-cyano-3-(3,4-dihydroxyphenyl)-N-(phenylmethyl)- ; A-Cyano-(3,4-dihydroxy)-N-benzylcinnamide ; [133550-30-8] ; (2E)-N-benzyl-2-cyano-3-(3,4-dihydroxyphenyl)prop-2-enamide ; (2E)-3-(3,4-dihydroxyphenyl)-2-cyano-N-benzylprop-2-enamide ; Tyrphostin AG490 ; AG 490 (Tyrphostin AG 490) ; Tyrphostin AG 490 | ; 2-cyano-3-(3,4-dihydroxyphenyl)-N-(phenylmethyl)-2-propenamide ; Tyrphostin AG 490 ; Tyrphostin B42 ; (E)-N-Benzyl-2-cyano-3-(3,4-dihydro ; xy-phenyl)-acrylamide ; MFCD00209833 ; a-cyano-(3,4-dihydroxy)-n-benzylcinnamamide ; (E)-N-benzyl-2-cyano-3-(3,4-dihydroxyphenyl)prop-2-enamide ; Tyrphostin B 42 ; (E)-N-Benzyl-2-cyano-3-(3,4-dihydro ; xy-phenyl)-acrylamide ; MFCD00236452 ; TyrphostinB42 ; UC6316197 ; 2-Propenamide,2-cyano-3-(3,4-dihydroxyphenyl)-N-(phenylmethyl)- ; 2-Propenamide,2-cyano-3-(3,4-dihydroxyphenyl)-N-(phenylmethyl)-,(2E)- ; N-benzyl-2-cyano-3-(3,4-dihydroxyphenyl)prop-2-enamide ; Tyrphostin B42 ; AG-490 ; (E)-2-cyano-3-(3,4-dihydroxyphenyl)-N-(phenylmethyl)-2-propenamide ; AG-490|tyrphostin AG490|tyrphostin B42 ; 2-Cyano-3-(3,4-dihydroxyphenyl)-N-(benzyl)-2-propenamide ; AG-490 (Tyrphostin B42) ; 2-cyano-3-(1-cyclohexa-1,5-dienyl)-N-(phenylmethyl)-2-propenamide ; AG 490;Tyrphostin AG 490;AG490 ; NOCAS_40960 ; '134036-52-5 ; ag 490(tyrphostin b42) ; ag-490(tyrphostin b42) ; ag490(tyrphostinb42) ; AG 490|Tyrphostin B 42 ; "
