ID,CNumber,Target,Screen Conc(0.001),% Activity Remaining,Standard Deviation,Screen Conc(0.01),% Activity Remaining,Standard Deviation,Screen Conc(0.1),% Activity Remaining,Standard Deviation,Screen Conc(0.1-1.0),% Activity Remaining,Standard Deviation,Screen Conc(1.0),% Activity Remaining,Standard Deviation,Screen Conc(1.0-5.0),% Activity Remaining,Standard Deviation,Screen Conc(5.0-10.0),% Activity Remaining,Standard Deviation,Screen Conc(10.0),% Activity Remaining,Standard Deviation,Screen Conc(10.0-25.0),% Activity Remaining,Standard Deviation,Screen Conc(25.0),% Activity Remaining,Standard Deviation,Screen Conc(25.0-50.0),% Activity Remaining,Standard Deviation,Screen Conc(50.0),% Activity Remaining,Standard Deviation,Screen Conc(100.0),% Activity Remaining,Standard Deviation,Screen Conc(>100.0),% Activity Remaining,Standard Deviation
1,177,IRAK4,,,,,,,0.1,99,4,,,,1.0,28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,177,RIPK2,,,,,,,0.1,103,5,,,,1.0,39,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,177,TTK,,,,,,,0.1,104,2,,,,1.0,91,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,177,MPSK1,,,,,,,0.1,103,6,,,,1.0,101,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,177,Src,,,,,,,0.1,106,4,,,,1.0,43,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,177,Lck,,,,,,,0.1,78,1,,,,1.0,30,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,177,CSK,,,,,,,0.1,118,16,,,,1.0,56,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,177,YES1,,,,,,,0.1,105,40,,,,1.0,60,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,177,ABL,,,,,,,0.1,108,5,,,,1.0,71,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,177,BTK,,,,,,,0.1,90,5,,,,1.0,93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,177,JAK2,,,,,,,0.1,108,11,,,,1.0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,177,SYK,,,,,,,0.1,88,3,,,,1.0,77,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,177,ZAP70,,,,,,,0.1,110,4,,,,1.0,96,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,177,TIE2,,,,,,,0.1,103,16,,,,1.0,93,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,177,BRK,,,,,,,0.1,65,13,,,,1.0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,177,EPH-A2,,,,,,,0.1,99,8,,,,1.0,55,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,177,EPH-A4,,,,,,,0.1,91,4,,,,1.0,46,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,177,EPH-B1,,,,,,,0.1,99,11,,,,1.0,81,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,177,EPH-B2,,,,,,,0.1,96,21,,,,1.0,75,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,177,EPH-B3,,,,,,,0.1,111,8,,,,1.0,100,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,177,EPH-B4,,,,,,,0.1,87,6,,,,1.0,90,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,177,FGF-R1,,,,,,,0.1,105,24,,,,1.0,87,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,177,HER4,,,,,,,0.1,100,2,,,,1.0,95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,177,IGF-1R,,,,,,,0.1,100,16,,,,1.0,93,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,177,IR,,,,,,,0.1,110,10,,,,1.0,94,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,177,IRR,,,,,,,0.1,107,52,,,,1.0,96,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,177,TrkA,,,,,,,0.1,46,0,,,,1.0,24,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,177,VEGFR1,,,,,,,0.1,8,0,,,,1.0,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,177,MKK1,,,,,,,0.1,13,2,,,,1.0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,177,MKK2,,,,,,,0.1,12,2,,,,1.0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,177,MKK6,,,,,,,0.1,12,4,,,,1.0,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,177,ERK1,,,,,,,0.1,106,15,,,,1.0,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,177,ERK2,,,,,,,0.1,103,2,,,,1.0,65,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,177,JNK1,,,,,,,0.1,90,0,,,,1.0,52,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,177,JNK2,,,,,,,0.1,109,12,,,,1.0,81,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,177,JNK3,,,,,,,0.1,107,2,,,,1.0,90,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,177,p38 alpha MAPK,,,,,,,0.1,103,3,,,,1.0,85,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,177,p38 beta MAPK,,,,,,,0.1,90,9,,,,1.0,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,177,p38 gamma MAPK,,,,,,,0.1,99,1,,,,1.0,92,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
