CNumber,Target,Screen Conc(0.01),% Activity Remaining,Standard Deviation
5,MKK1,0.01,84,2
5,ERK1,0.01,77,8
5,ERK2,0.01,78,6
5,JNK1,0.01,89,7
5,JNK2,0.01,94,1
5,JNK3,0.01,81,9
5,p38 alpha MAPK,0.01,131,2
5,p38 beta MAPK,0.01,114,3
5,p38 gamma MAPK,0.01,87,5
5,p38 delta MAPK,0.01,86,1
5,ERK8,0.01,61,2
5,RSK1,0.01,78,1
5,RSK2,0.01,74,3
5,PDK1,0.01,88,1
5,PKB alpha ,0.01,5,2
5,PKB beta ,0.01,17,2
5,SGK1,0.01,78,2
5,S6K1,0.01,88,3
5,PKA,0.01,26,1
5,ROCK 2,0.01,48,3
5,PRK2,0.01,17,2
5,PKC alpha ,0.01,73,3
5,PKC zeta ,0.01,82,3
5,PKD1,0.01,63,3
5,MSK1,0.01,19,2
5,MNK1,0.01,120,3
5,MNK2,0.01,97,2
5,MAPKAP-K2 ,0.01,92,8
5,MAPKAP-K3,0.01,91,9
5,PRAK,0.01,107,3
5,CAMKK alpha ,0.01,112,2
5,CAMKK beta ,0.01,83,8
5,CAMK1,0.01,89,3
5,SmMLCK,0.01,69,2
5,PHK,0.01,86,7
5,CHK1,0.01,100,3
5,CHK2,0.01,94,8
5,GSK3 beta ,0.01,81,1
5,CDK2-Cyclin A,0.01,82,5
5,PLK1,0.01,89,5
5,Aurora B,0.01,81,3
5,Aurora C,0.01,100,4
5,AMPK,0.01,84,8
5,MARK3,0.01,100,3
5,BRSK2,0.01,88,9
5,MELK,0.01,96,2
5,CK1 delta ,0.01,95,3
5,CK2,0.01,96,0
5,DYRK1A,0.01,10,2
5,DYRK2,0.01,79,5
5,DYRK3,0.01,41,3
5,NEK2a,0.01,101,5
5,NEK6,0.01,95,2
5,NEK7,0.01,86,8
5,IKK beta ,0.01,93,8
5,PIM1,0.01,57,8
5,PIM2,0.01,59,0
5,PIM3,0.01,54,6
5,SRPK1,0.01,92,8
5,MST2,0.01,76,4
5,EF2K,0.01,93,7
5,HIPK2,0.01,73,2
5,HIPK3,0.01,90,0
5,PAK4,0.01,99,3
5,PAK5,0.01,104,2
5,PAK6,0.01,87,2
5,Src,0.01,91,0
5,Lck,0.01,97,8
5,CSK,0.01,99,2
18,SYK,0.01,100,10
18,PDK1,0.01,99,4
18,YES1,0.01,100,6
18,PKB alpha ,0.01,110,5
18,IGF-1R,0.01,71,6
18,PKB beta ,0.01,100,4
18,VEGFR1,0.01,88,2
18,SGK1,0.01,98,3
18,BTK,0.01,92,7
18,S6K1,0.01,83,3
18,IR,0.01,96,6
18,PKA,0.01,91,4
18,EPH-B3,0.01,118,13
18,ROCK 2,0.01,104,1
18,TBK1,0.01,101,2
18,PRK2,0.01,80,5
18,IKK epsilon ,0.01,107,1
18,PKC alpha ,0.01,103,5
18,MKK1,0.01,103,4
18,PKC gamma ,0.01,None,None
18,ERK1,0.01,96,13
18,PKC zeta ,0.01,84,9
18,ERK2,0.01,95,2
18,PKD1,0.01,89,5
18,JNK1,0.01,98,4
18,STK33,0.01,None,None
18,JNK2,0.01,93,2
18,MSK1,0.01,95,5
18,JNK3,0.01,95,5
18,MNK1,0.01,98,6
18,p38 alpha MAPK,0.01,89,3
18,MNK2,0.01,121,4
18,p38 beta MAPK,0.01,89,0
18,MAPKAP-K2 ,0.01,92,6
18,p38 gamma MAPK,0.01,99,9
18,MAPKAP-K3,0.01,57,4
18,p38 delta MAPK,0.01,89,0
18,PRAK,0.01,84,8
18,ERK8,0.01,94,1
18,CAMKK beta ,0.01,98,12
18,RSK1,0.01,14,2
18,CAMK1,0.01,93,5
18,RSK2,0.01,32,2
18,SmMLCK,0.01,106,4
18,PHK,0.01,77,2
18,DAPK1,0.01,None,None
18,CHK1,0.01,98,7
18,CHK2,0.01,97,9
18,GSK3 beta ,0.01,84,0
18,CDK2-Cyclin A,0.01,88,5
18,PLK1,0.01,33,1
18,Aurora A,0.01,None,None
18,Aurora B,0.01,53,5
18,LKB1,0.01,None,None
18,AMPK,0.01,101,3
18,MARK1,0.01,None,None
18,MARK2,0.01,None,None
18,MARK3,0.01,101,0
18,MARK4,0.01,None,None
18,BRSK1,0.01,None,None
18,BRSK2,0.01,91,4
18,CAMKK alpha ,0.01,None,None
18,MELK,0.01,85,1
18,NUAK1,0.01,None,None
18,CK1 delta ,0.01,93,0
18,CK2,0.01,100,3
18,DYRK1A,0.01,90,3
18,DYRK2,0.01,100,4
18,DYRK3,0.01,100,11
18,NEK2a,0.01,93,4
18,NEK6,0.01,88,4
18,IKK beta ,0.01,95,5
18,Aurora C,0.01,None,None
18,PIM1,0.01,104,0
18,PIM2,0.01,98,5
18,PIM3,0.01,79,10
18,SRPK1,0.01,97,2
18,EF2K,0.01,107,3
18,HIPK1,0.01,None,None
18,HIPK2,0.01,97,9
18,HIPK3,0.01,None,None
18,CLK2,0.01,None,None
18,PAK2,0.01,None,None
18,PAK4,0.01,85,3
18,PAK5,0.01,91,5
18,NEK7,0.01,107,8
18,PAK6,0.01,88,0
18,MST2,0.01,65,8
18,MST4,0.01,95,8
18,GCK,0.01,None,None
18,MINK1,0.01,None,None
18,MEKK1,0.01,None,None
18,MLK1,0.01,None,None
18,MLK3,0.01,None,None
18,TAO1,0.01,None,None
18,ASK1,0.01,None,None
18,TAK1,0.01,None,None
18,IRAK4,0.01,None,None
18,RIPK2,0.01,None,None
18,Src,0.01,98,1
18,TTK,0.01,None,None
18,Lck,0.01,89,2
18,MPSK1,0.01,None,None
18,CSK,0.01,91,1
18,FGF-R1,0.01,131,54
18,IRR,0.01,79,17
18,EPH-A2,0.01,105,14
18,ABL,0.01,None,None
18,JAK2,0.01,None,None
18,ZAP70,0.01,None,None
18,TIE2,0.01,None,None
18,BRK,0.01,None,None
18,EPH-A4,0.01,None,None
18,EPH-B1,0.01,None,None
18,EPH-B2,0.01,None,None
18,EPH-B4,0.01,None,None
18,HER4,0.01,None,None
18,TrkA,0.01,None,None
18,MKK2,0.01,None,None
18,MKK6,0.01,None,None
19,p38 gamma MAPK,0.01,95,1
19,RIPK2,0.01,None,None
19,p38 delta MAPK,0.01,108,10
19,TTK,0.01,None,None
19,ERK8,0.01,95,10
19,Src,0.01,73,13
19,RSK1,0.01,107,3
19,Lck,0.01,89,10
19,RSK2,0.01,93,4
19,CSK,0.01,109,9
19,PDK1,0.01,100,6
19,YES1,0.01,76,6
19,PKB alpha ,0.01,89,10
19,BTK,0.01,93,12
19,PKB beta ,0.01,100,3
19,JAK2,0.01,None,None
19,SGK1,0.01,88,8
19,SYK,0.01,99,2
19,S6K1,0.01,87,10
19,EPH-A2,0.01,94,3
19,PKA,0.01,102,1
19,EPH-A4,0.01,None,None
19,ROCK 2,0.01,100,5
19,EPH-B1,0.01,None,None
19,PRK2,0.01,103,15
19,EPH-B2,0.01,None,None
19,PKC alpha ,0.01,113,1
19,EPH-B3,0.01,89,10
19,PKC zeta ,0.01,107,12
19,EPH-B4,0.01,None,None
19,PKD1,0.01,98,6
19,FGF-R1,0.01,95,5
19,MSK1,0.01,97,6
19,HER4,0.01,None,None
19,MNK1,0.01,118,4
19,MNK2,0.01,86,5
19,MAPKAP-K2 ,0.01,103,6
19,PRAK,0.01,97,3
19,CAMKK beta ,0.01,93,0
19,CAMK1,0.01,97,17
19,SmMLCK,0.01,84,19
19,PHK,0.01,101,18
19,CHK1,0.01,82,18
19,CHK2,0.01,77,19
19,GSK3 beta ,0.01,85,9
19,CDK2-Cyclin A,0.01,88,7
19,PLK1,0.01,91,6
19,AMPK,0.01,91,21
19,MARK3,0.01,97,4
19,BRSK2,0.01,112,5
19,MELK,0.01,86,12
19,CK1 delta ,0.01,87,10
19,CK2,0.01,96,3
19,DYRK1A,0.01,102,10
19,DYRK2,0.01,93,16
19,DYRK3,0.01,108,4
19,NEK2a,0.01,96,6
19,NEK6,0.01,88,12
19,IKK beta ,0.01,106,11
19,PIM1,0.01,100,10
19,PIM2,0.01,111,5
19,MKK1,0.01,96,1
19,PIM3,0.01,96,8
19,ERK1,0.01,88,13
19,SRPK1,0.01,87,8
19,ERK2,0.01,93,12
19,MST2,0.01,87,8
19,JNK1,0.01,98,6
19,EF2K,0.01,108,9
19,JNK2,0.01,94,5
19,HIPK2,0.01,101,2
19,p38 alpha MAPK,0.01,103,22
19,PAK4,0.01,95,18
19,p38 beta MAPK,0.01,87,7
19,PAK5,0.01,107,0
19,PAK6,0.01,102,16
19,IRR,0.01,93,8
19,MST4,0.01,98,4
19,IGF-1R,0.01,106,8
19,VEGFR1,0.01,95,6
19,IR,0.01,107,0
19,TBK1,0.01,94,13
19,IKK epsilon ,0.01,101,0
19,Aurora B,0.01,94,11
19,MAPKAP-K3,0.01,None,None
19,DAPK1,0.01,None,None
19,Aurora A,0.01,None,None
19,LKB1,0.01,None,None
19,MARK1,0.01,None,None
19,MARK2,0.01,None,None
19,MARK4,0.01,None,None
19,BRSK1,0.01,None,None
19,NUAK1,0.01,None,None
19,MKK2,0.01,None,None
19,MKK6,0.01,None,None
19,HIPK1,0.01,None,None
19,HIPK3,0.01,None,None
19,JNK3,0.01,None,None
19,CLK2,0.01,None,None
19,TrkA,0.01,None,None
19,PAK2,0.01,None,None
19,GCK,0.01,None,None
19,MINK1,0.01,None,None
19,MEKK1,0.01,None,None
19,MLK1,0.01,None,None
19,MLK3,0.01,None,None
19,TAO1,0.01,None,None
19,ASK1,0.01,None,None
19,TAK1,0.01,None,None
