Accession code,Uniprot URL
P05198,https://www.uniprot.org/uniprot/P05198
Q9UQL6,https://www.uniprot.org/uniprot/Q9UQL6
P18433-2,https://www.uniprot.org/uniprot/P18433-2
P61978,https://www.uniprot.org/uniprot/P61978
Q9UQ13,https://www.uniprot.org/uniprot/Q9UQ13
P53004,https://www.uniprot.org/uniprot/P53004
P15941,https://www.uniprot.org/uniprot/P15941
P35611,https://www.uniprot.org/uniprot/P35611
P14598,https://www.uniprot.org/uniprot/P14598
Q8TCJ0,https://www.uniprot.org/uniprot/Q8TCJ0
Q16206,https://www.uniprot.org/uniprot/Q16206
P19429,https://www.uniprot.org/uniprot/P19429
P15407,https://www.uniprot.org/uniprot/P15407
O76090,https://www.uniprot.org/uniprot/O76090
Q9UBS0,https://www.uniprot.org/uniprot/Q9UBS0
Q9H257,https://www.uniprot.org/uniprot/Q9H257
P05107,https://www.uniprot.org/uniprot/P05107
Q05655,https://www.uniprot.org/uniprot/Q05655
P13796,https://www.uniprot.org/uniprot/P13796
Q9HBA0,https://www.uniprot.org/uniprot/Q9HBA0
Q13501,https://www.uniprot.org/uniprot/Q13501
P05787,https://www.uniprot.org/uniprot/P05787
P04406,https://www.uniprot.org/uniprot/P04406
Q02297-6,https://www.uniprot.org/uniprot/Q02297-6
P51398,https://www.uniprot.org/uniprot/P51398
P42224,https://www.uniprot.org/uniprot/P42224
P62753,https://www.uniprot.org/uniprot/P62753
Q99808,https://www.uniprot.org/uniprot/Q99808
Q14247,https://www.uniprot.org/uniprot/Q14247
P98082,https://www.uniprot.org/uniprot/P98082
Q9Y2R2,https://www.uniprot.org/uniprot/Q9Y2R2
Q15139,https://www.uniprot.org/uniprot/Q15139
P17405,https://www.uniprot.org/uniprot/P17405
P68431,https://www.uniprot.org/uniprot/P68431
P28329-3,https://www.uniprot.org/uniprot/P28329-3
P13498,https://www.uniprot.org/uniprot/P13498
P04637,https://www.uniprot.org/uniprot/P04637
