Kinase name,Accession Code
AKT1_HUMAN,P31749
AKT2_HUMAN,P31751
AKT3_HUMAN,Q9Y243
MRCKA_HUMAN,Q5VT25
MRCKB_HUMAN,Q9Y5S2
MRCKG_HUMAN,Q6DT37
CTRO_HUMAN,O14578
DMPK_HUMAN,Q09013
GRK1_HUMAN,Q15835
ARBK1_HUMAN,P25098
ARBK2_HUMAN,P35626
GRK4_HUMAN,P32298
GRK5_HUMAN,P34947
GRK6_HUMAN,P43250
GRK7_HUMAN,Q8WTQ7
LATS1_HUMAN,O95835
LATS2_HUMAN,Q9NRM7
MAST1_HUMAN,Q9Y2H9
MAST2_HUMAN,Q6P0Q8
MAST3_HUMAN,O60307
MAST4_HUMAN,O15021
GWL_HUMAN,Q96GX5
PDPK1_HUMAN,O15530
PDPK2_HUMAN,Q6A1A2
PKN1_HUMAN,Q16512
PKN2_HUMAN,Q16513
PKN3_HUMAN,Q6P5Z2
KAPCA_HUMAN,P17612
KAPCB_HUMAN,P22694
KAPCG_HUMAN,P22612
KPCA_HUMAN,P17252
KPCB_HUMAN,P05771
KPCD_HUMAN,Q05655
KPCE_HUMAN,Q02156
KPCG_HUMAN,P05129
KPCL_HUMAN,P24723
KPCI_HUMAN,P41743
KPCT_HUMAN,Q04759
KPCZ_HUMAN,Q05513
KGP1_HUMAN,Q13976
KGP2_HUMAN,Q13237
PRKX_HUMAN,P51817
PRKY_HUMAN,O43930
ROCK1_HUMAN,Q13464
ROCK2_HUMAN,O75116
KS6A1_HUMAN,Q15418
KS6A2_HUMAN,Q15349
KS6A3_HUMAN,P51812
KS6A4_HUMAN,O75676
KS6A5_HUMAN,O75582
KS6A6_HUMAN,Q9UK32
KS6B1_HUMAN,P23443
KS6B2_HUMAN,Q9UBS0
SGK1_HUMAN,O00141
SGK2_HUMAN,Q9HBY8
SGK3_HUMAN,Q96BR1
STK38_HUMAN,Q15208
ST38L_HUMAN,Q9Y2H1
BRSK1_HUMAN,Q8TDC3
BRSK2_HUMAN,Q8IWQ3
KCC1A_HUMAN,Q14012
KCC1D_HUMAN,Q8IU85
KCC1G_HUMAN,Q96NX5
KCC2A_HUMAN,Q9UQM7
KCC2B_HUMAN,Q13554
KCC2D_HUMAN,Q13557
KCC2G_HUMAN,Q13555
KCC4_HUMAN,Q16566
CAMKV_HUMAN,Q8NCB2
CSKP_HUMAN,O14936
CHK1_HUMAN,O14757
CHK2_HUMAN,O96017
DAPK1_HUMAN,P53355
DAPK2_HUMAN,Q9UIK4
DAPK3_HUMAN,O43293
DCLK1_HUMAN,O15075
DCLK2_HUMAN,Q8N568
DCLK3_HUMAN,Q9C098
HUNK_HUMAN,P57058
KALRN_HUMAN,O60229
MAPK2_HUMAN,P49137
MAPK3_HUMAN,Q16644
MAPK5_HUMAN,Q8IW41
MARK1_HUMAN,Q9P0L2
MARK2_HUMAN,Q7KZI7
MARK3_HUMAN,P27448
MARK4_HUMAN,Q96L34
MELK_HUMAN,Q14680
MKNK1_HUMAN,Q9BUB5
MKNK2_HUMAN,Q9HBH9
MYLK_HUMAN,Q15746
MYLK2_HUMAN,Q9H1R3
MYLK3_HUMAN,Q32MK0
MYLK4_HUMAN,Q86YV6
NIM1_HUMAN,Q8IY84
NUAK1_HUMAN,O60285
NUAK2_HUMAN,Q9H093
OBSCN_HUMAN,Q5VST9
PASK_HUMAN,Q96RG2
PHKG1_HUMAN,Q16816
PHKG2_HUMAN,P15735
PIM1_HUMAN,P11309
PIM2_HUMAN,Q9P1W9
PIM3_HUMAN,Q86V86
KCC1B_HUMAN,Q6P2M8
AAPK1_HUMAN,Q13131
AAPK2_HUMAN,P54646
KPCD1_HUMAN,Q15139
KPCD2_HUMAN,Q9BZL6
KPCD3_HUMAN,O94806
KPSH1_HUMAN,P11801
KPSH2_HUMAN,Q96QS6
SIK1_HUMAN,P57059
SIK2_HUMAN,Q9H0K1
SIK3_HUMAN,Q9Y2K2
SNRK_HUMAN,Q9NRH2
SPEG_HUMAN,Q15772
STK11_HUMAN,Q15831
ST17A_HUMAN,Q9UEE5
ST17B_HUMAN,O94768
STK33_HUMAN,Q9BYT3
STK40_HUMAN,Q8N2I9
TRIB1_HUMAN,Q96RU8
TRIB2_HUMAN,Q92519
TRIB3_HUMAN,Q96RU7
TRIO_HUMAN,O75962
TSSK1_HUMAN,Q9BXA7
TSSK2_HUMAN,Q96PF2
TSSK3_HUMAN,Q96PN8
TSSK4_HUMAN,Q6SA08
TSSK6_HUMAN,Q9BXA6
TITIN_HUMAN,Q8WZ42
KC1A_HUMAN,P48729
KC1AL_HUMAN,Q8N752
KC1D_HUMAN,P48730
KC1E_HUMAN,P49674
KC1G1_HUMAN,Q9HCP0
KC1G2_HUMAN,P78368
KC1G3_HUMAN,Q9Y6M4
TTBK1_HUMAN,Q5TCY1
TTBK2_HUMAN,Q6IQ55
VRK1_HUMAN,Q99986
VRK2_HUMAN,Q86Y07
VRK3_HUMAN,Q8IV63
CDK1_HUMAN,P06493
CDK10_HUMAN,Q15131
CD11A_HUMAN,Q9UQ88
CD11B_HUMAN,P21127
CDK12_HUMAN,Q9NYV4
CDK13_HUMAN,Q14004
CDK14_HUMAN,O94921
CDK15_HUMAN,Q96Q40
CDK16_HUMAN,Q00536
CDK17_HUMAN,Q00537
CDK18_HUMAN,Q07002
CDK19_HUMAN,Q9BWU1
CDK2_HUMAN,P24941
CDK20_HUMAN,Q8IZL9
CDK3_HUMAN,Q00526
CDK4_HUMAN,P11802
CDK5_HUMAN,Q00535
CDK6_HUMAN,Q00534
CDK7_HUMAN,P50613
CDK8_HUMAN,P49336
CDK9_HUMAN,P50750
CDKL1_HUMAN,Q00532
CDKL2_HUMAN,Q92772
CDKL3_HUMAN,Q8IVW4
CDKL4_HUMAN,Q5MAI5
CDKL5_HUMAN,O76039
CLK1_HUMAN,P49759
CLK2_HUMAN,P49760
CLK3_HUMAN,P49761
CLK4_HUMAN,Q9HAZ1
DYR1A_HUMAN,Q13627
DYR1B_HUMAN,Q9Y463
DYRK2_HUMAN,Q92630
DYRK3_HUMAN,O43781
DYRK4_HUMAN,Q9NR20
GSK3A_HUMAN,P49840
GSK3B_HUMAN,P49841
HIPK1_HUMAN,Q86Z02
HIPK2_HUMAN,Q9H2X6
HIPK3_HUMAN,Q9H422
HIPK4_HUMAN,Q8NE63
ICK_HUMAN,Q9UPZ9
MAK_HUMAN,P20794
MK01_HUMAN,P28482
MK10_HUMAN,P53779
MK11_HUMAN,Q15759
MK12_HUMAN,P53778
MK13_HUMAN,O15264
MK14_HUMAN,Q16539
MK15_HUMAN,Q8TD08
MK03_HUMAN,P27361
MK04_HUMAN,P31152
MK06_HUMAN,Q16659
MK07_HUMAN,Q13164
MK08_HUMAN,P45983
MK09_HUMAN,P45984
MOK_HUMAN,Q9UQ07
NLK_HUMAN,Q9UBE8
PRP4B_HUMAN,Q13523
SRPK1_HUMAN,Q96SB4
SRPK2_HUMAN,P78362
SRPK3_HUMAN,Q9UPE1
NEK1_HUMAN,Q96PY6
NEK10_HUMAN,Q6ZWH5
NEK11_HUMAN,Q8NG66
NEK2_HUMAN,P51955
NEK3_HUMAN,P51956
NEK4_HUMAN,P51957
NEK5_HUMAN,Q6P3R8
NEK6_HUMAN,Q9HC98
NEK7_HUMAN,Q8TDX7
NEK8_HUMAN,Q86SG6
NEK9_HUMAN,Q8TD19
GUC2C_HUMAN,P25092
GUC2D_HUMAN,Q02846
GUC2F_HUMAN,P51841
ANPRA_HUMAN,P16066
ANPRB_HUMAN,P20594
MP2K1_HUMAN,Q02750
MP2K2_HUMAN,P36507
MP2K3_HUMAN,P46734
MP2K4_HUMAN,P45985
MP2K5_HUMAN,Q13163
MP2K6_HUMAN,P52564
