Kinase Accession,Family,Subcellular location
P31749,AGC Ser/Thr protein kinase family; RAC subfamily,Cytoplasm; Nucleus; Cell membrane; Nucleus;
P31751,AGC Ser/Thr protein kinase family; RAC subfamily,Cytoplasm; Nucleus; Cell membrane; Peripheral membrane protein; Early endosome;
Q9Y243,AGC Ser/Thr protein kinase family; RAC subfamily,Nucleus; Cytoplasm; Membrane; Peripheral membrane protein; Membrane;
Q5VT25,AGC Ser/Thr protein kinase family; DMPK subfamily,Cytoplasm; Cell projection; lamellipodium; lamellipodium;
Q9Y5S2,AGC Ser/Thr protein kinase family; DMPK subfamily,Cytoplasm; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cell junction; Cell projection; lamellipodium; lamellipodium;
Q6DT37,AGC Ser/Thr protein kinase family; DMPK subfamily,Cytoplasm;
O14578,AGC Ser/Thr protein kinase family,Cytoplasm;
Q09013,AGC Ser/Thr protein kinase family; DMPK subfamily,Cytoplasm; Cytoplasmic side; Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type IV membrane protein; Cytoplasm; Cytoplasmic side; Nucleus; Nucleus outer membrane; Single-pass type IV membrane protein; Mitochondrion; Mitochondrion outer membrane; Single-pass type IV membrane protein; Sarcoplasmic reticulum; Sarcoplasmic reticulum membrane; Cell membrane; Cytoplasm; cytosol; sarcoplasm; Mitochondrion; Mitochondrion membrane; Mitochondrion; Mitochondrion membrane;
Q15835,AGC Ser/Thr protein kinase family; GPRK subfamily,Lipid-anchor; Membrane; Cell projection; cilium; photoreceptor outer segment;
P25098,AGC Ser/Thr protein kinase family; GPRK subfamily,Cytoplasm; Cell membrane;
P35626,AGC Ser/Thr protein kinase family; GPRK subfamily,
P32298,AGC Ser/Thr protein kinase family; GPRK subfamily,Cytoplasm; cell cortex; Cytoplasm;
P34947,AGC Ser/Thr protein kinase family; GPRK subfamily,Cytoplasm; Nucleus; Cell membrane; Peripheral membrane protein; Nucleus;
P43250,AGC Ser/Thr protein kinase family; GPRK subfamily,Lipid-anchor; Membrane;
Q8WTQ7,AGC Ser/Thr protein kinase family; GPRK subfamily,Lipid-anchor; Membrane;
