Kinase Accession,Subcellular Location
P31749,Nucleus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; spindle; spindle pole; Chromosome; synapse; centrosome; spindle; spindle pole; Cytoplasm; Nucleus; Microsome; Endoplasmic reticulum; Cytoplasm; Cytoplasm; cytoskeleton; Nucleus; Nucleus matrix; Nucleus; Cytoplasm; cytoskeleton; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; spindle; spindle pole; Nucleus; spindle; spindle pole; cell cortex; Endoplasmic reticulum; Endoplasmic reticulum lumen; Melanosome; Cytoplasm; Cytoplasm; Nucleus; centromere; Chromosome; Cytoplasm; cytoskeleton; spindle; spindle pole; centromere; spindle; spindle pole; Cytoplasm; Nucleus; nucleoplasm; Nucleus; nucleolus; Nucleus; nucleolus; nucleolus; cytosol; Cytoplasm; Cytoplasmic vesicle; Perikaryon; Golgi apparatus; Golgi apparatus membrane; Peripheral membrane protein; axon; Cell projection; Cell projection; dendrite; Endoplasmic reticulum; Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasm; Cytoplasmic vesicle; secretory vesicle; synaptic vesicle; synaptic vesicle membrane; Endosome; Lysosome; Mitochondrion; Mitochondrion outer membrane; Peripheral membrane protein; Golgi apparatus; Lysosome; Cell projection; lamellipodium; Cell projection; ruffle; ruffle; Cytoplasm; Cell membrane; Mitochondrion; Nucleus; Cytoplasm; cytosol; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cytoplasm; cytoskeleton; axon; Cell projection; Cell projection; dendrite; axon; cytosol; Nucleus; Nucleus; Nucleus speckle; Cytoplasm; Cytoplasm; Nucleus; Nucleus; Cytoplasm; Chromosome; Chromosome; telomere; telomere; Nucleus; Cytoplasm; Chromosome; Cytoplasm; Cytoplasmic side; Endoplasmic reticulum; Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasm; Cytoplasmic side; Golgi apparatus; Golgi apparatus membrane; Peripheral membrane protein; Cytoplasm; Cytoplasmic side; Mitochondrion; Mitochondrion outer membrane; Peripheral membrane protein; Lysosome; Cytoplasm; Nucleus; PML body; Microsome; Microsome membrane; Lysosome; Lysosome membrane; Lysosome; Cytoplasm; perinuclear region; Membrane; Membrane raft; Endoplasmic reticulum; Endoplasmic reticulum membrane; Multi-pass membrane protein; Cytoplasm; Cytoplasmic vesicle; Multi-pass membrane protein; secretory vesicle; secretory vesicle membrane; Cytoplasm; perinuclear region; Endoplasmic reticulum; Cytoplasm; Nucleus; Cytoplasm; Endosome; Cell junction; Membrane; Peripheral membrane protein; Cytoplasm; Cell membrane; Cell projection; ruffle; ruffle membrane; Cytoplasm; Mitochondrion; Mitochondrion; Mitochondrion inner membrane; Peripheral membrane protein; Mitochondrion; Mitochondrion intermembrane space; cytosol; Cytoplasm; Nucleus; Cytoplasm; Nucleus; PML body; Cytoplasm; Nucleus; nucleolus; Cytoplasm; Mitochondrion; Host; Host cytoplasm; Host; Host nucleus; Host; Host mitochondrion; Cell junction; desmosome; Cytoplasm; cytoskeleton; Cell membrane; Nucleus; Mitochondrion; desmosome; Cell membrane; caveola; Membrane; Cytoplasm; cytoskeleton; Golgi apparatus; cytoskeleton; Cytoplasm; Nucleus; Cell membrane; clathrin-coated pit; coated pit; Membrane; Cytoplasm; Cytoplasmic vesicle; Cytoplasm; Lipid-anchor; Membrane; Nucleus; Cytoplasm; Cytoplasm; Cytoplasm; Cytoplasm; Nucleus; Cell membrane; Peripheral membrane protein; Cell junction; focal adhesion; perinuclear region; focal adhesion; Cytoplasm; Nucleus; centromere; Chromosome; Lateral cell membrane; Cell projection; dendrite; Cytoplasm; Nucleus; Nucleus; nucleoplasm; Nucleus; Cytoplasm; nucleolus; Nucleus; nucleoplasm; nucleolus; Cytoplasm; Nucleus; Cell membrane; Cell junction; synapse; synaptosome; Mitochondrion; Mitochondrion outer membrane; Mitochondrion; Nucleus; Cytoplasm; Cytoplasm; Cytoplasm; Endoplasmic reticulum; Cytoplasm; Nucleus; Mitochondrion; Cytoplasm; cytoskeleton; spindle; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Early endosome; Early endosome membrane; Peripheral membrane protein; Nucleus; Cytoplasm; Endosome; Cell projection; ruffle; Cytoplasm; Cytoplasmic vesicle; phagosome; Cytoplasm; cytosol; Nucleus; Mitochondrion; Mitochondrion matrix; Cytoplasm; Cytoplasmic side; Mitochondrion; Mitochondrion outer membrane; Peripheral membrane protein; cytosol; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cell membrane; Nucleus;
P31751,Cytoplasm; Cytoplasm; cytoskeleton; Nucleus; Nucleus matrix; Cytoplasm; Melanosome; Nucleus; Secreted; Cell membrane; Secreted; Cytoplasm; Nucleus; Cell membrane; Cytoplasm; Nucleus; Cell membrane; Peripheral membrane protein; Early endosome;
Q9Y243,Cytoplasm; Nucleus; Cytoplasm; Membrane; Peripheral membrane protein; Membrane; Cytoplasm;
Q5VT25,Cytoplasm; Cell projection; lamellipodium; lamellipodium; Cell membrane; Cytoplasm; Cytoplasmic side; Lipid-anchor; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; spindle; Midbody; Cell projection; dendrite; spindle; spindle; centrosome;
Q9Y5S2,Cytoplasm; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cell junction; Cell projection; lamellipodium; lamellipodium;
Q6DT37,Cytoplasm; Cytoplasm;
O14578,Cytoplasm;
Q09013,Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass membrane protein; Sarcoplasmic reticulum; Sarcoplasmic reticulum membrane; Single-pass membrane protein; Mitochondrion; Mitochondrion membrane; Single-pass membrane protein; Membrane; Single-pass membrane protein; sarcoplasm; Cytoplasm; Cytoplasmic side; Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type IV membrane protein; Cytoplasm; Cytoplasmic side; Nucleus; Nucleus outer membrane; Single-pass type IV membrane protein; Mitochondrion; Mitochondrion outer membrane; Single-pass type IV membrane protein; Sarcoplasmic reticulum; Sarcoplasmic reticulum membrane; Cell membrane; Cytoplasm; cytosol; sarcoplasm; Mitochondrion; Mitochondrion membrane; Mitochondrion; Mitochondrion membrane;
Q15835,Lipid-anchor; Membrane; Cell projection; cilium; photoreceptor outer segment;
P25098,Cell membrane; Multi-pass membrane protein; Cytoplasm; Nucleus; nucleoplasm; Nucleus; Cytoplasm; nucleolus; Nucleus; nucleoplasm; nucleolus; Cell membrane; Multi-pass membrane protein; Cytoplasm; Nucleus; Cytoplasm; Cell membrane; Cytoplasm; focal adhesion;
