Kinase,Family
AKT1_HUMAN,Protein kinase superfamily
AKT1_HUMAN,AGC Ser/Thr protein kinase family
AKT1_HUMAN,RAC subfamily
AKT2_HUMAN,Protein kinase superfamily
AKT2_HUMAN,AGC Ser/Thr protein kinase family
AKT2_HUMAN,RAC subfamily
AKT3_HUMAN,Protein kinase superfamily
AKT3_HUMAN,AGC Ser/Thr protein kinase family
AKT3_HUMAN,RAC subfamily
MRCKA_HUMAN,Protein kinase superfamily
MRCKA_HUMAN,AGC Ser/Thr protein kinase family
MRCKA_HUMAN,DMPK subfamily
MRCKB_HUMAN,Protein kinase superfamily
MRCKB_HUMAN,AGC Ser/Thr protein kinase family
MRCKB_HUMAN,DMPK subfamily
MRCKG_HUMAN,Protein kinase superfamily
MRCKG_HUMAN,AGC Ser/Thr protein kinase family
MRCKG_HUMAN,DMPK subfamily
CTRO_HUMAN,Protein kinase superfamily
CTRO_HUMAN,AGC Ser/Thr protein kinase family
DMPK_HUMAN,Protein kinase superfamily
DMPK_HUMAN,AGC Ser/Thr protein kinase family
DMPK_HUMAN,DMPK subfamily
GRK1_HUMAN,Protein kinase superfamily
GRK1_HUMAN,AGC Ser/Thr protein kinase family
GRK1_HUMAN,GPRK subfamily
