Accession,Main gene name,Main protein name,Other gene names,Other protein names
P05198,EIF2S1,IF2A_HUMAN,EIF2A,Eukaryotic translation initiation factor 2 subunit 1; Eukaryotic translation initiation factor 2 subunit alpha
Q9UQL6,HDAC5,HDAC5_HUMAN,KIAA0600,Histone deacetylase 5; Antigen NY-CO-9
P61978,HNRNPK,HNRPK_HUMAN,HNRPK,Heterogeneous nuclear ribonucleoprotein K; Transformation up-regulated nuclear protein
Q9UQ13,SHOC2,SHOC2_HUMAN,KIAA0862,Leucine-rich repeat protein SHOC-2; Protein soc-2 homolog; Protein sur-8 homolog
P53004,BLVRA,BIEA_HUMAN,BLVR; BVR,Biliverdin reductase A; Biliverdin-IX alpha-reductase
P35611,ADD1,ADDA_HUMAN,ADDA,Alpha-adducin; Erythrocyte adducin subunit alpha
P14598,NCF1,NCF1_HUMAN,NOXO2; SH3PXD1A,Neutrophil cytosol factor 1; p47-phox; SH3 and PX domain-containing protein 1A; Nox-organizing protein 2; Nox organizer 2; Neutrophil NADPH oxidase factor 1; NCF-47K; 47 kDa neutrophil oxidase factor; 47 kDa autosomal chronic granulomatous disease protein
Q8TCJ0,FBXO25,FBX25_HUMAN,FBX25,F-box only protein 25
Q16206,ENOX2,ENOX2_HUMAN,COVA1,Ecto-NOX disulfide-thiol exchanger 2; APK1 antigen; Tumor-associated hydroquinone oxidase; Cytosolic ovarian carcinoma antigen 1
P19429,TNNI3,TNNI3_HUMAN,TNNC1,"Troponin I, cardiac muscle; Cardiac troponin I"
P15407,FOSL1,FOSL1_HUMAN,FRA1,Fos-related antigen 1
O76090,BEST1,BEST1_HUMAN,VMD2,Bestrophin-1; TU15B; Vitelliform macular dystrophy protein 2
Q9UBS0,RPS6KB2,KS6B2_HUMAN,STK14B,Ribosomal protein S6 kinase beta-2; 70 kDa ribosomal protein S6 kinase 2; S6 kinase-related kinase; Serine/threonine-protein kinase 14B; p70 ribosomal S6 kinase beta
Q9H257,CARD9,CARD9_HUMAN,,Caspase recruitment domain-containing protein 9
Q05655,PRKCD,KPCD_HUMAN,,Protein kinase C delta type; Tyrosine-protein kinase PRKCD; nPKC-delta
P13796,LCP1,PLSL_HUMAN,PLS2,Plastin-2; LC64P; L-plastin; Lymphocyte cytosolic protein 1
Q9HBA0,TRPV4,TRPV4_HUMAN,VRL2; VROAC,Transient receptor potential cation channel subfamily V member 4; Osm-9-like TRP channel 4; Transient receptor potential protein 12; Vanilloid receptor-like channel 2; Vanilloid receptor-like protein 2; Vanilloid receptor-related osmotically-activated channel
