Kinase Accession,Subcellular Location
p31749,Cytoplasm; Nucleus; Cell membrane; Nucleus;
p31751,Cytoplasm; Nucleus; Cell membrane; Peripheral membrane protein; Early endosome;
q9y243,Nucleus; Cytoplasm; Membrane; Peripheral membrane protein; Membrane;
q5vt25,Cytoplasm; Cell projection; lamellipodium; lamellipodium;
q9y5s2,Cytoplasm; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cell junction; Cell projection; lamellipodium; lamellipodium;
q6dt37,Cytoplasm;
o14578,Cytoplasm;
q09013,Cytoplasm; Cytoplasmic side; Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type IV membrane protein; Cytoplasm; Cytoplasmic side; Nucleus; Nucleus outer membrane; Single-pass type IV membrane protein; Mitochondrion; Mitochondrion outer membrane; Single-pass type IV membrane protein; Sarcoplasmic reticulum; Sarcoplasmic reticulum membrane; Cell membrane; Cytoplasm; cytosol; sarcoplasm; Mitochondrion; Mitochondrion membrane; Mitochondrion; Mitochondrion membrane;
q15835,Lipid-anchor; Membrane; Cell projection; cilium; photoreceptor outer segment;
p25098,Cytoplasm; Cell membrane;
p35626,
p32298,Cytoplasm; cell cortex; Cytoplasm;
p34947,Cytoplasm; Nucleus; Cell membrane; Peripheral membrane protein; Nucleus;
p43250,Lipid-anchor; Membrane;
q8wtq7,Lipid-anchor; Membrane;
o95835,centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; centrosome; spindle; spindle pole;
q9nrm7,centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; Cytoplasm; cytoskeleton; spindle; spindle pole; Nucleus; centrosome; spindle; spindle pole;
q9y2h9,Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cytoplasm; cytoskeleton; axon; Cell projection; Cell projection; dendrite;
q6p0q8,Cytoplasm; cytoskeleton; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein;
o60307,
o15021,Cytoplasm;
q96gx5,centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Nucleus; Cleavage furrow; centrosome;
o15530,Cytoplasm; Nucleus; Cell membrane; Peripheral membrane protein; Cell junction; focal adhesion; perinuclear region; focal adhesion; Cytoplasm;
